,0,1,2,3,4,5,6
LOOM-B.ST,-0.40795287,-0.099734746,-0.17502612,-0.11995282,-0.13224395,-0.21065363,-0.31099355
MAGI.ST,-0.19113487,-0.1285855,-0.19312558,0.1840234,0.17326179,0.4434747,0.5192199
MAHA-A.ST,-1.5865066,-1.5854288,-1.5214617,-1.5067801,-1.3769201,-1.446847,-1.5018628
MAXF.ST,0.34741238,0.43405998,0.5022689,0.36907092,0.51137733,0.2812671,0.14709441
MCOV-B.ST,-2.9998407,-2.692924,-2.759917,-2.7349896,-2.7403626,-2.8447907,-2.9545162
MMGR-B.ST,-1.7149812,-1.3590477,-1.4608454,-1.3813537,-1.4231606,-1.4830894,-1.5813992
MSON-B.ST,-2.7698536,-2.985389,-2.9335055,-2.577924,-2.468411,-2.1774824,-2.056602
MTG-B.ST,9.792348,8.4279175,8.877415,9.46899,10.00566,10.678121,11.095171
MYCR.ST,-1.2720412,-1.2065027,-1.149453,-1.209942,-1.0835295,-1.2373599,-1.3362145
NAXS.ST,-2.735385,-2.4567266,-2.511969,-2.4889266,-2.4815166,-2.5843482,-2.6899974
NCC-A.ST,-0.85744447,-0.7622582,-0.72766596,-0.7493403,-0.64721525,-0.76781285,-0.85685396
NDA-SE.ST,-0.44550484,-0.15058143,-0.23513247,-0.12003401,-0.14512944,-0.16170275,-0.23395514
NENT-B.ST,-3.1168158,-2.872531,-2.9073355,-2.9137738,-2.88336,-3.0107427,-3.1226287
NET-B.ST,-0.86581504,-1.238854,-1.0901939,-0.84706503,-0.63241744,-0.43025985,-0.32615063
NIBE-B.ST,-2.803459,-2.4897263,-2.5645776,-2.521016,-2.5348911,-2.6223872,-2.7260933
NMAN.ST,-4.9072556,-4.7275605,-4.726226,-4.7644267,-4.698511,-4.844275,-4.953894
NNH.ST,3.766568,3.9990845,3.9754243,3.9641628,4.010518,3.874483,3.7588906
NOBI.ST,0.9947117,1.1841232,1.1523356,1.2357818,1.2673521,1.2338889,1.167976
NOLA-B.ST,-0.87038344,-0.66847074,-0.7034259,-0.6307199,-0.60356367,-0.64753234,-0.7188115
NP3-PREF.ST,-1.3582883,-1.1074477,-1.1403779,-1.159539,-1.1256053,-1.2678813,-1.3872553
ORX.ST,-0.332101,-0.584603,-0.45547786,-0.31052282,-0.11441295,-0.02399292,0.018937431
PEGRO-PREF.ST,10.754174,10.656869,10.7878475,10.736667,10.946073,10.815702,10.745223
PIEZO.ST,0.56830114,0.62030137,0.6648997,0.67661935,0.78851724,0.7059183,0.63811207
POOL-B.ST,0.34967297,0.3693318,0.35908026,0.6027566,0.6532217,0.79875904,0.8281008
PREC.ST,99.91499,63.076366,72.66505,88.86444,99.7242,120.56941,133.21356
PROB.ST,2.9644396,2.7286139,2.88329,2.9223828,3.1500542,3.1324863,3.127904
RAIL.ST,-0.8955619,-0.73375726,-0.7356423,-0.7251337,-0.6615446,-0.7606322,-0.8496164
RROS.ST,-0.055867154,-0.0950019,-0.09165214,0.18819621,0.25176504,0.44124648,0.4963548
SAGA-A.ST,-12.146914,-11.556223,-11.829654,-11.489276,-11.726396,-11.554489,-11.583256
SAGA-D.ST,-1.0563744,-0.81806993,-0.8440861,-0.86903495,-0.8275204,-0.9739145,-1.0934516
SAND.ST,1.5425482,1.7804475,1.750057,1.751503,1.7886397,1.666481,1.5567111
SDIP-B.ST,-4.3161097,-4.1453323,-4.1353064,-4.189914,-4.114193,-4.275058,-4.3898606
SEMC.ST,-0.8752575,-0.91094977,-0.9104746,-0.6291081,-0.56942135,-0.37827381,-0.3225878
SEYE.ST,-0.7660425,-0.6570054,-0.62408113,-0.6612005,-0.56001204,-0.697976,-0.7961987
SJR-B.ST,-2.4271743,-2.249234,-2.3260849,-2.0735087,-2.095202,-1.9596946,-1.9537444
SKIS-B.ST,-0.9395,-0.6557315,-0.7268849,-0.6478679,-0.6577782,-0.7080753,-0.7929755
SPEQT.ST,-0.02584771,-0.057830956,-0.021573003,0.14213935,0.24044138,0.31835946,0.32800394
SRNKE-B.ST,-2.5714357,-2.5396883,-2.4852583,-2.490752,-2.3694887,-2.4639173,-2.5335395
SSM.ST,2.2720163,1.7653085,1.9810344,2.1782987,2.465502,2.640771,2.7502143
STIL.ST,2.5849998,2.8837595,2.8184495,2.8705633,2.8682833,2.7881682,2.6888757
SUS.ST,0.16857661,0.27237496,0.31964195,0.24222282,0.35980836,0.18287154,0.06915266
SVED-B.ST,35.990463,34.13668,34.808685,35.386517,36.167946,36.87005,37.358253
SWEC-B.ST,-2.0680563,-1.683719,-1.8062537,-1.6928588,-1.7577217,-1.7880676,-1.8775812
SWED-A.ST,-0.1289513,0.061160542,0.022832049,0.119471006,0.14452711,0.123423375,0.062051658
SYSR.ST,-2.1987226,-1.9692955,-1.9995737,-1.990108,-1.9566153,-2.0654554,-2.1670222
TAGM-B.ST,2.1166425,1.6450887,1.8248731,2.1088438,2.354497,2.6102345,2.749327
TIGO-SDB.ST,0.35113087,0.6869296,0.5730638,0.73411053,0.6780885,0.699309,0.63698274
TRIAN-B.ST,-4.1273947,-3.8330452,-3.8945384,-3.8758361,-3.8756309,-3.9837837,-4.0933485
VITR.ST,-1.7174721,-1.4908634,-1.5260934,-1.4907818,-1.4634116,-1.5466006,-1.637012
VOLO-PREF.ST,-0.04784923,0.20970447,0.17497776,0.15506762,0.18813461,0.042926013,-0.078963995
VOLV-B.ST,-1.1037512,-0.8813363,-0.9017184,-0.9185451,-0.87255615,-1.0076662,-1.1198585
ACCON.ST,-0.02712084,0.17712529,0.11480797,0.28594688,0.2820801,0.33310068,0.3007219
AGES-B.ST,0.20951359,0.012650953,0.031665158,0.48788077,0.56156325,0.94579136,1.1023172
AKEL-D.ST,-7.347151,-7.0352173,-7.1226683,-7.0577188,-7.088277,-7.150762,-7.24318
ALFA.ST,1.4471791,1.6844095,1.6567577,1.6464517,1.6872897,1.5533407,1.438517
ALIV-SDB.ST,0.763137,0.76547277,0.7982183,0.92676824,1.0230101,1.0611985,1.0497345
AMBEA.ST,0.89148676,1.0526431,1.0554475,1.0551232,1.1249176,1.0139775,0.9197849
AOI.ST,10.021265,8.990401,9.218151,10.114608,10.410293,11.332421,11.809971
AQ.ST,0.8100837,0.9736932,0.97716975,0.9688312,1.0398918,0.9205337,0.8223408
ASPIRE.ST,2.71016,2.446424,2.5921886,2.7190666,2.9317393,3.006858,3.0459633
ATCO-B.ST,-0.78776485,-0.47828585,-0.55114734,-0.50712466,-0.5169021,-0.60580915,-0.71050453
ATORX.ST,2.5615454,2.2141726,2.2763867,2.8024433,2.9209104,3.3920817,3.6032598
ATT.ST,-0.21090394,-0.14520961,-0.13281372,-0.028284969,0.047186047,0.05340344,0.02059193
AWRD.ST,-6.1889715,-6.195053,-6.1009774,-6.198544,-6.036571,-6.2112727,-6.3077407
AZN.ST,0.368893,0.58618975,0.57068855,0.5440292,0.5970476,0.45114735,0.33439922
BELE.ST,-0.21833263,0.18399788,0.03206657,0.23829211,0.13982423,0.19744162,0.14235437
BHG.ST,-4.298977,-4.132365,-4.122111,-4.1709003,-4.095188,-4.249741,-4.361355
BIOA-B.ST,1.2598153,1.3732872,1.3656975,1.4769965,1.5323782,1.537272,1.4973685
BIOT.ST,-2.727983,-2.4330122,-2.5005965,-2.4535723,-2.4603782,-2.5414963,-2.6399097
BOOZT.ST,-1.119583,-0.96109813,-0.9737468,-0.9200098,-0.8690781,-0.92541224,-0.99619913
BRIG.ST,1.6883733,1.4765712,1.6240748,1.6604397,1.8780338,1.857398,1.8498106
BUSER.ST,-11.776613,-12.084901,-11.814064,-12.1286745,-11.778687,-12.118261,-12.243108
CAT-A.ST,-2.9201508,-2.824543,-2.7793276,-2.8411,-2.728959,-2.8860269,-2.9892242
CATE.ST,-2.353836,-2.1870253,-2.185268,-2.1977296,-2.130852,-2.2515385,-2.3495703
CLA-B.ST,11.365849,8.840996,9.543471,10.797709,11.614542,13.096428,13.977736
CLNK-B.ST,-2.6893225,-2.475465,-2.4910724,-2.5113807,-2.4624188,-2.5972936,-2.7072837
COLL.ST,13.525012,12.77774,13.001243,13.56827,13.8583975,14.418943,14.717075
DORO.ST,-0.24959101,-0.051945634,-0.104883626,0.04670617,0.05202118,0.08620932,0.04833249
DRIL.ST,-2.6309083,-2.4175427,-2.4440348,-2.4263837,-2.3893323,-2.4876447,-2.5827405
DURC-B.ST,3.4674315,2.666633,2.903646,3.4525747,3.7528443,4.3127413,4.618515
DUST.ST,-0.7573734,-0.51442397,-0.56438965,-0.49944642,-0.4872467,-0.5451453,-0.62770456
ENG.ST,-0.96646965,-0.594186,-0.70612043,-0.610267,-0.6629846,-0.7095937,-0.8044741
ENQ.ST,-10.775993,-20.135342,-17.394953,-14.131605,-11.079017,-6.6494503,-3.7664
ENZY.ST,-11.107695,-11.501531,-11.4114685,-10.982375,-10.83733,-10.441498,-10.25454
EOLU-B.ST,0.8929485,1.0816268,1.0790087,1.049193,1.116125,0.9707715,0.8577321
ETX.ST,1.146316,1.1013509,1.0965872,1.417596,1.4716091,1.7012087,1.7736751
FERRO.ST,-4.499926,-4.4320164,-4.372189,-4.449564,-4.3228364,-4.489666,-4.5928535
FIL.ST,1.8977737,2.11794,2.068353,2.1767874,2.1888285,2.1751966,2.1137578
FOOT-B.ST,-4.042093,-3.7639372,-3.8525798,-3.7179706,-3.7479324,-3.742389,-3.803631
FPAR-A.ST,-1.5515544,-1.3193239,-1.3455234,-1.3529047,-1.3143352,-1.4404489,-1.549646
GAPW-B.ST,-1.2420404,-1.2826501,-1.1903825,-1.2187381,-1.0574476,-1.16414,-1.2293384
GETI-B.ST,-4.461653,-4.1390443,-4.227291,-4.1551137,-4.1842966,-4.244339,-4.3376956
GHP.ST,-0.90468633,-0.5213579,-0.6399641,-0.5383439,-0.5976294,-0.6407103,-0.7358543
GUNN.ST,-6.2435055,-7.0447316,-6.7970257,-6.2962894,-5.9906073,-5.4706836,-5.1779623
HM-B.ST,2.351695,2.0893567,2.2635171,2.2687848,2.517633,2.471244,2.45818
HNSA.ST,-2.9896739,-3.3145869,-3.1950774,-2.922151,-2.740111,-2.5139832,-2.4056115
HPOL-B.ST,-1.6920387,-1.7712849,-1.6777633,-1.6650714,-1.5015346,-1.5643402,-1.6075912
HUM.ST,0.12435751,0.31094876,0.27853525,0.37100816,0.40004635,0.37746343,0.3172247
HUSQ-B.ST,2.6421363,2.3167999,2.4168556,2.7711408,2.9352198,3.235235,3.372169
